open,high,low,close,volume,marketCap,timestamp
425,3041.3501065009,3075.0934735567,3026.4679748186,3073.1501655734,4426467434.31055,53829488835.494606,2019-02-02
426,3004.6462441496,3023.2834862339,2992.6112676861,2998.1572171209,4403646446.24472,52420127629.07909,2019-02-07
427,3229.6747267907,3237.5132061988,3207.9013741907,3223.9577074804,5745528366.987803,56799117595.67749,2019-02-12
428,3216.3588121617,3258.1220238723,3203.8085970815,3252.190101555,6231587652.698465,57056055644.19976,2019-02-17
429,3485.1924162649,3534.0072493461,3483.7943683952,3532.994630579,6901351704.058681,61997381468.755135,2019-02-22
430,3385.6830021801,3414.5514456169,3330.3054049824,3384.327482563,7286001400.597794,59360088652.58436,2019-02-27
431,3380.1507767612,3401.6987654055,3293.7085944999,3317.8174216281,7937385910.017447,58102530598.37272,2019-03-04
432,3466.560676271,3549.0403520547,3464.6362169762,3527.7455621369,9609665722.085056,62017628526.023254,2019-03-09
433,3446.8279247946,3493.2916811675,3451.3134925246,3470.2215018194,9249716026.742548,60917055479.154175,2019-03-14
434,3557.2940772128,3595.673013742,3546.3670676581,3585.5989889302,8243284722.304317,63201442614.29083,2019-03-19
435,3568.888291637,3573.7846615331,3547.0150417299,3560.7893807171,8088136089.884445,62639227905.523224,2019-03-24
436,3623.012262968,3663.2658255776,3590.7942583953,3652.0615531197,9723584855.567835,64299353641.55087,2019-03-29
437,4354.9673574239,4722.8033446732,4351.9895138484,4422.5083002752,20436298346.06537,78225244590.71713,2019-04-03
438,4635.3776480069,4739.8226288749,4588.7093018563,4699.3056377775,15291983136.974958,83159851087.54587,2019-04-08
439,4494.3463879668,4516.7703906251,4391.4751499176,4500.6792598905,12143583205.49836,79735858143.97908,2019-04-12
440,4640.0378957309,4674.4902116986,4611.9980007072,4649.0682038775,11022446720.941366,82149073378.90009,2019-04-17
441,4724.7892972484,4816.1056070284,4698.8654580762,4795.5975712029,12986296943.673243,84805457832.2994,2019-04-22
442,4732.5179315185,4760.2271633614,4691.431060152,4722.1694752396,11752946618.7653,83442430736.9333,2019-04-27
